 Pressure tensor from virial route using IK-VR1 definition
 Unit: pressure in [bar] and length in [Angstrom]
  z              Pkin               Pt(fw)             Pt(ff)             Pt(tot)            Pn(fw)             Pn(ff)             Pn(tot)
 12.8506         0.0000           -27.5030             0.0000           -27.5030          -105.9481             0.0000          -105.9481
 12.8606         0.0000           -27.5026             0.0000           -27.5026          -105.9528             0.0000          -105.9528
 12.8706         0.0000           -27.5058             0.0000           -27.5058          -105.9805             0.0000          -105.9805
 12.8806         0.0000           -27.5033             0.0000           -27.5033          -105.9716             0.0000          -105.9716
 12.8906         0.0000           -27.5082             0.0000           -27.5082          -105.9714             0.0000          -105.9714
 12.9006         0.0000           -27.5104             0.0000           -27.5104          -106.0203             0.0000          -106.0203
 12.9106         0.0000           -27.5198             0.0000           -27.5198          -106.0208             0.0000          -106.0208
 12.9206         0.0000           -27.5276             0.0000           -27.5276          -106.0244             0.0000          -106.0244
 12.9306         0.0000           -27.5268             0.0000           -27.5268          -106.0310             0.0000          -106.0310
 12.9406         0.0000           -27.5328             0.0000           -27.5328          -106.0484             0.0000          -106.0484
 12.9506         0.0000           -27.5422             0.0000           -27.5422          -106.0080             0.0000          -106.0080
 12.9606         0.0000           -27.5265             0.0000           -27.5265          -106.0121             0.0000          -106.0121
 12.9706         0.0000           -27.5563             0.0000           -27.5563          -105.9924             0.0000          -105.9924
 12.9806         0.0000           -27.5504             0.0000           -27.5504          -105.9915             0.0000          -105.9915
 12.9906         0.0000           -27.5542             0.0000           -27.5542          -105.9905             0.0000          -105.9905
 13.0006         0.0000           -27.5772             0.0000           -27.5772          -105.9832             0.0000          -105.9832
 13.0106         0.0000           -27.5612             0.0000           -27.5612          -105.9667             0.0000          -105.9667
